date,time,t1,h1,t2,h2,t3,h3
2020-01-04,11:47:52, 72.68,29.3,73.58,30.1,71.96,30.5 
2020-01-04,11:47:57, 72.68,29.3,73.58,30.1,71.96,30.5 
2020-01-04,11:48:08, 72.68,29.3,73.58,30.1,71.96,28.8 
2020-01-04,11:48:22, 72.68,28.7,73.58,30.1,71.96,30.5 
2020-01-04,11:48:32, 72.68,29.3,73.58,30.1,71.96,30.5 
2020-01-04,11:48:38, 72.68,29.3,73.58,30.1,71.96,30.4 
2020-01-04,11:48:44, 72.68,29.2,73.58,30.0,71.96,30.4 
2020-01-04,11:59:05, 71.78,29.6,73.58,30.0,71.96,30.4 
2020-01-04,11:59:11, 71.78,29.5,72.32,31.4,71.96,30.7 
2020-01-04,11:59:17, 71.78,29.5,72.32,31.4,71.96,30.6 
2020-01-04,11:59:23, 71.78,29.4,72.32,31.4,71.96,30.5 
2020-01-04,11:59:29, 71.78,29.4,72.32,31.4,71.96,30.5 
2020-01-04,11:59:37, 71.78,29.4,72.14,31.3,71.96,30.5 
2020-01-04,11:59:43, 71.78,29.4,72.14,31.3,71.96,30.5 
2020-01-04,11:59:48, 71.78,29.3,72.14,31.3,71.96,30.5 
2020-01-04,11:59:54, 71.78,29.3,72.14,31.3,71.96,30.5 
2020-01-04,12:00:02, 68.72,29.2,72.14,31.3,71.96,30.5 
2020-01-04,12:00:08, 71.60,29.2,72.14,31.3,71.96,30.4 
2020-01-04,12:00:14, 71.60,29.2,72.32,31.3,71.96,30.4 
2020-01-04,12:00:20, 71.78,29.2,72.14,31.3,71.96,30.4 
2020-01-04,12:00:25, 71.60,29.1,72.14,31.3,71.96,30.4 
2020-01-04,12:00:31, 71.78,29.3,72.14,31.2,71.96,30.4 
2020-01-04,12:00:37, 71.78,29.4,72.14,31.2,71.96,30.5 
2020-01-04,12:00:43, 71.78,29.4,72.14,31.2,71.96,30.5 
2020-01-04,12:00:48, 71.78,29.3,72.14,31.2,70.52,30.4 
2020-01-04,12:00:54, 71.78,29.1,72.14,31.1,71.96,30.3 
2020-01-04,12:01:02, 71.78,29.0,72.14,31.1,164.12,30.2 
2020-01-04,12:01:08, 71.60,28.9,72.14,30.9,71.96,30.1 
2020-01-04,12:01:14, 71.60,28.9,72.14,30.9,72.14,30.1 
2020-01-04,12:01:22, 71.60,28.9,72.14,30.8,71.96,30.0 
2020-01-04,12:01:30, 71.60,28.9,72.14,30.7,71.96,30.0 
2020-01-04,12:01:35, 71.60,28.9,72.14,30.7,71.96,30.0 
2020-01-04,12:01:41, 71.60,29.0,72.14,30.7,71.96,30.0 
2020-01-04,12:01:49, 71.60,29.0,72.14,30.7,71.96,30.0 
2020-01-04,12:01:55, 71.60,29.0,72.14,30.7,71.96,30.0 
2020-01-04,12:02:01, 71.60,29.0,72.14,30.7,71.96,30.0 
2020-01-04,12:02:09, 71.60,29.0,72.14,30.7,71.96,30.0 
2020-01-04,12:02:14, 71.60,29.0,72.14,30.7,71.96,30.0 
2020-01-04,12:02:22, 71.60,29.0,72.14,30.6,71.96,30.0 
2020-01-04,12:02:28, 71.60,29.0,72.14,30.6,71.96,30.0 
2020-01-04,12:02:34, 71.60,29.0,72.14,30.6,71.96,30.0 
2020-01-04,12:02:40, 71.60,29.0,72.14,30.6,71.96,30.0 
2020-01-04,12:02:45, 71.60,29.0,70.70,30.6,71.96,30.0 
2020-01-04,12:02:51, 71.60,29.1,72.14,30.6,71.96,30.0 
2020-01-04,12:02:57, 71.60,29.1,72.14,30.6,71.96,30.0 
2020-01-04,12:03:03, 71.42,29.0,72.14,30.6,71.96,30.0 
2020-01-04,12:03:11, 71.60,29.1,72.14,30.6,71.96,30.0 
2020-01-04,12:03:16, 71.60,29.1,72.14,30.6,71.96,30.0 
2020-01-04,12:03:22, 71.42,29.1,72.14,30.6,71.96,30.0 
2020-01-04,12:03:28, 71.42,29.1,72.14,30.6,71.96,30.0 
2020-01-04,12:03:34, 71.42,29.1,72.14,30.6,71.96,30.0 
2020-01-04,12:03:39, 71.42,29.1,72.14,30.6,71.96,30.0 
2020-01-04,12:03:45, 71.42,29.1,72.14,30.6,71.96,30.0 
2020-01-04,12:03:51, 71.42,29.1,72.14,30.6,71.78,30.0 
2020-01-04,12:03:57, 71.42,29.2,72.14,30.6,69.08,30.0 
2020-01-04,12:04:03, 71.42,29.2,72.14,30.6,71.96,30.0 
2020-01-04,12:04:09, 71.42,29.2,72.14,30.6,71.78,30.0 
2020-01-04,12:04:15, 69.98,29.2,72.14,30.6,68.90,30.0 
2020-01-04,12:04:20, 71.42,29.2,72.14,31.4,71.78,30.0 
2020-01-04,12:04:26, 71.42,29.2,72.14,30.6,71.78,30.0 
2020-01-04,12:04:32, 71.42,29.3,72.14,30.6,71.78,30.0 
2020-01-04,12:04:38, 71.42,29.2,72.14,30.6,71.78,30.0 
2020-01-04,12:04:44, 71.42,29.3,72.14,30.6,71.78,30.0 
2020-01-04,12:04:49, 71.24,29.2,72.14,30.6,71.78,30.0 
2020-01-04,12:04:55, 77.00,29.2,72.14,30.6,71.78,30.0 
2020-01-04,12:05:01, 71.24,29.3,72.14,30.6,71.78,30.0 
2020-01-04,12:05:07, 71.24,29.3,72.14,30.6,71.78,30.0 
2020-01-04,12:05:13, 71.24,29.3,72.14,30.6,71.78,30.0 
2020-01-04,12:05:18, 71.24,29.3,72.14,30.6,71.78,30.0 
2020-01-04,12:05:28, 71.24,29.4,72.14,30.6,71.78,30.0 
2020-01-04,12:05:40, 71.24,29.4,72.14,30.6,71.78,30.0 
2020-01-04,12:05:46, 71.24,29.4,72.14,29.0,71.78,30.0 
2020-01-04,12:05:52, 71.24,29.4,72.14,30.6,71.78,30.0 
2020-01-04,12:06:00, 71.24,29.4,72.14,30.6,71.78,30.0 
2020-01-04,12:06:06, 71.24,29.4,72.14,30.6,71.78,30.0 
2020-01-04,12:06:11, 71.24,29.5,72.14,30.7,71.06,30.0 
2020-01-04,12:06:19, 71.06,29.4,72.14,30.6,71.78,30.0 
2020-01-04,12:06:25, 59.54,29.5,72.14,30.7,71.78,30.0 
2020-01-04,12:06:31, 71.06,29.5,71.96,30.6,71.78,30.0 
2020-01-04,12:06:37, 71.06,29.5,71.96,30.6,71.78,30.0 
2020-01-04,12:06:42, 71.06,29.5,72.14,30.7,71.78,30.0 
2020-01-04,12:06:48, 71.06,29.5,71.96,31.0,71.78,30.0 
2020-01-04,12:06:58, 71.06,29.5,71.96,30.6,71.78,30.0 
2020-01-04,12:07:04, 71.06,29.5,72.14,30.7,71.78,30.0 
2020-01-04,12:07:10, 71.06,29.6,72.14,30.7,71.60,29.6 
2020-01-04,12:07:16, 71.06,29.6,71.96,30.6,71.60,30.0 
2020-01-04,12:07:21, 71.06,29.6,71.96,30.6,71.60,30.0 
